entry,at,order
"-- ending hand #149 --",2020-10-01T05:40:20.267Z,160153082026803
"""Ayush @ _e74w1sbtZ"" shows a 9♣, A♦.",2020-10-01T05:40:20.267Z,160153082026802
"""AAron @ SgIZePqJyI"" collected 2302 from pot with Royal Flush (combination: A♣, K♣, Q♣, J♣, 10♣)",2020-10-01T05:40:20.267Z,160153082026801
"""AAron @ SgIZePqJyI"" shows a 10♣, J♣.",2020-10-01T05:40:20.267Z,160153082026800
"""Ayush @ _e74w1sbtZ"" calls 424",2020-10-01T05:40:19.459Z,160153081946000
"""AAron @ SgIZePqJyI"" bets 424 and go all in",2020-10-01T05:40:10.660Z,160153081066100
"river: A♣, 7♥, K♣, 4♠ [Q♣]",2020-10-01T05:39:52.797Z,160153079280600
"""AAron @ SgIZePqJyI"" calls 480",2020-10-01T05:39:51.989Z,160153079199000
"""Ayush @ _e74w1sbtZ"" raises to 480",2020-10-01T05:39:45.783Z,160153078578400
"""AAron @ SgIZePqJyI"" bets 240",2020-10-01T05:39:42.244Z,160153078224500
"turn: A♣, 7♥, K♣ [4♠]",2020-10-01T05:39:32.834Z,160153077283600
"""AAron @ SgIZePqJyI"" calls 200",2020-10-01T05:39:32.026Z,160153077202700
"""Ethan @ w1_Hje3yn2"" folds",2020-10-01T05:39:29.285Z,160153076928600
"""Ayush @ _e74w1sbtZ"" raises to 200",2020-10-01T05:39:25.531Z,160153076553200
"""AAron @ SgIZePqJyI"" bets 100",2020-10-01T05:39:22.461Z,160153076246200
"flop:  [A♣, 7♥, K♣]",2020-10-01T05:39:15.230Z,160153075523100
"""meesh @ He9325iWeJ"" folds",2020-10-01T05:39:14.424Z,160153075442500
"""AAron @ SgIZePqJyI"" calls 28",2020-10-01T05:39:06.718Z,160153074671900
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T05:39:05.789Z,160153074579000
"""Ethan @ w1_Hje3yn2"" calls 28",2020-10-01T05:39:02.077Z,160153074207800
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T05:38:57.781Z,160153073778200
"""Ayush @ _e74w1sbtZ"" raises to 28",2020-10-01T05:38:50.530Z,160153073053000
"""Steven @ GWM99dqAoi"" folds",2020-10-01T05:38:45.828Z,160153072582900
"""meesh @ He9325iWeJ"" posts a big blind of 10",2020-10-01T05:38:36.696Z,160153071669810
"""AAron @ SgIZePqJyI"" posts a small blind of 5",2020-10-01T05:38:36.696Z,160153071669809
"Your hand is 10♣, J♣",2020-10-01T05:38:36.696Z,160153071669806
"Player stacks: #2 ""Ayush @ _e74w1sbtZ"" (4430) | #3 ""Jamz @ Xg6uSZZOvr"" (3048) | #6 ""Ethan @ w1_Hje3yn2"" (13819) | #7 ""Justin @ _g_OqsZX-M"" (5600) | #8 ""AAron @ SgIZePqJyI"" (1132) | #9 ""meesh @ He9325iWeJ"" (3602) | #10 ""Steven @ GWM99dqAoi"" (3842)",2020-10-01T05:38:36.696Z,160153071669801
"-- starting hand #149  (No Limit Texas Hold'em) (dealer: ""Justin @ _g_OqsZX-M"") --",2020-10-01T05:38:36.696Z,160153071669800
"""Ethan @ w1_Hje3yn2"" shows a A♠, Q♠.",2020-10-01T05:38:33.582Z,160153071358300
"-- ending hand #148 --",2020-10-01T05:38:33.066Z,160153071306702
"""Ethan @ w1_Hje3yn2"" collected 345 from pot",2020-10-01T05:38:33.066Z,160153071306701
"Uncalled bet of 258 returned to ""Ethan @ w1_Hje3yn2""",2020-10-01T05:38:33.066Z,160153071306700
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T05:38:32.259Z,160153071226000
"""AAron @ SgIZePqJyI"" folds",2020-10-01T05:38:31.353Z,160153071135400
"""Ethan @ w1_Hje3yn2"" bets 258",2020-10-01T05:38:29.695Z,160153070969600
"""Ayush @ _e74w1sbtZ"" checks",2020-10-01T05:38:26.108Z,160153070610900
"""AAron @ SgIZePqJyI"" checks",2020-10-01T05:38:25.037Z,160153070503800
"flop:  [10♦, 3♥, Q♥]",2020-10-01T05:38:23.204Z,160153070320500
"""Ayush @ _e74w1sbtZ"" calls 100",2020-10-01T05:38:22.397Z,160153070239800
"""Steven @ GWM99dqAoi"" folds",2020-10-01T05:38:20.753Z,160153070075400
"""meesh @ He9325iWeJ"" folds",2020-10-01T05:38:11.726Z,160153069172700
"""AAron @ SgIZePqJyI"" calls 100",2020-10-01T05:38:08.631Z,160153068863200
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T05:38:07.734Z,160153068773500
"""Ethan @ w1_Hje3yn2"" raises to 100",2020-10-01T05:38:06.643Z,160153068664400
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T05:38:01.710Z,160153068171100
"""Ayush @ _e74w1sbtZ"" calls 30",2020-10-01T05:38:00.805Z,160153068080600
"""Steven @ GWM99dqAoi"" raises to 30",2020-10-01T05:37:58.994Z,160153067899700
"""meesh @ He9325iWeJ"" calls 10",2020-10-01T05:37:51.385Z,160153067138600
"""AAron @ SgIZePqJyI"" posts a big blind of 10",2020-10-01T05:37:48.068Z,160153066806910
"""Justin @ _g_OqsZX-M"" posts a small blind of 5",2020-10-01T05:37:48.068Z,160153066806909
"Your hand is 4♣, 4♠",2020-10-01T05:37:48.068Z,160153066806906
"Player stacks: #2 ""Ayush @ _e74w1sbtZ"" (4530) | #3 ""Jamz @ Xg6uSZZOvr"" (3048) | #6 ""Ethan @ w1_Hje3yn2"" (13574) | #7 ""Justin @ _g_OqsZX-M"" (5605) | #8 ""AAron @ SgIZePqJyI"" (1232) | #9 ""meesh @ He9325iWeJ"" (3612) | #10 ""Steven @ GWM99dqAoi"" (3872)",2020-10-01T05:37:48.068Z,160153066806901
"-- starting hand #148  (No Limit Texas Hold'em) (dealer: ""Ethan @ w1_Hje3yn2"") --",2020-10-01T05:37:48.068Z,160153066806900
"-- ending hand #147 --",2020-10-01T05:37:45.157Z,160153066515702
"""Justin @ _g_OqsZX-M"" collected 480 from pot",2020-10-01T05:37:45.157Z,160153066515701
"Uncalled bet of 480 returned to ""Justin @ _g_OqsZX-M""",2020-10-01T05:37:45.157Z,160153066515700
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T05:37:44.349Z,160153066435000
"""Justin @ _g_OqsZX-M"" bets 480",2020-10-01T05:37:19.329Z,160153063933000
"flop:  [3♦, 9♦, 5♠]",2020-10-01T05:37:12.207Z,160153063221000
"""Ethan @ w1_Hje3yn2"" folds",2020-10-01T05:37:11.400Z,160153063140100
"""Jamz @ Xg6uSZZOvr"" calls 180",2020-10-01T05:37:08.768Z,160153062876900
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T05:36:54.527Z,160153061452800
"""Steven @ GWM99dqAoi"" folds",2020-10-01T05:36:53.534Z,160153061353500
"""AAron @ SgIZePqJyI"" folds",2020-10-01T05:36:52.636Z,160153061263700
"""Justin @ _g_OqsZX-M"" raises to 180",2020-10-01T05:36:39.922Z,160153059992300
"""Ethan @ w1_Hje3yn2"" calls 30",2020-10-01T05:36:32.109Z,160153059211000
"""Jamz @ Xg6uSZZOvr"" calls 30",2020-10-01T05:36:29.285Z,160153058928600
"""Ayush @ _e74w1sbtZ"" calls 30",2020-10-01T05:36:27.141Z,160153058714200
"""Steven @ GWM99dqAoi"" calls 30",2020-10-01T05:36:21.100Z,160153058110100
"""meesh @ He9325iWeJ"" folds",2020-10-01T05:36:12.985Z,160153057298600
"""AAron @ SgIZePqJyI"" raises to 30",2020-10-01T05:36:08.898Z,160153056889900
"""Justin @ _g_OqsZX-M"" posts a big blind of 10",2020-10-01T05:36:05.096Z,160153056510110
"""Ethan @ w1_Hje3yn2"" posts a small blind of 5",2020-10-01T05:36:05.096Z,160153056510109
"Your hand is 9♠, A♥",2020-10-01T05:36:05.096Z,160153056510106
"Player stacks: #2 ""Ayush @ _e74w1sbtZ"" (4560) | #3 ""Jamz @ Xg6uSZZOvr"" (3228) | #6 ""Ethan @ w1_Hje3yn2"" (13604) | #7 ""Justin @ _g_OqsZX-M"" (5305) | #8 ""AAron @ SgIZePqJyI"" (1262) | #9 ""meesh @ He9325iWeJ"" (3612) | #10 ""Steven @ GWM99dqAoi"" (3902)",2020-10-01T05:36:05.096Z,160153056510101
"-- starting hand #147  (No Limit Texas Hold'em) (dealer: ""Jamz @ Xg6uSZZOvr"") --",2020-10-01T05:36:05.096Z,160153056510100
"-- ending hand #146 --",2020-10-01T05:36:02.182Z,160153056218302
"""Ethan @ w1_Hje3yn2"" collected 325 from pot",2020-10-01T05:36:02.182Z,160153056218301
"Uncalled bet of 243 returned to ""Ethan @ w1_Hje3yn2""",2020-10-01T05:36:02.182Z,160153056218300
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T05:36:01.375Z,160153056137600
"""Ethan @ w1_Hje3yn2"" bets 243",2020-10-01T05:35:55.273Z,160153055527300
"turn: A♠, 7♠, 4♦ [10♦]",2020-10-01T05:35:51.505Z,160153055150800
"""Ayush @ _e74w1sbtZ"" checks",2020-10-01T05:35:50.699Z,160153055070000
"""Ethan @ w1_Hje3yn2"" checks",2020-10-01T05:35:46.367Z,160153054636800
"flop:  [A♠, 7♠, 4♦]",2020-10-01T05:35:43.303Z,160153054330400
"""Ayush @ _e74w1sbtZ"" calls 150",2020-10-01T05:35:42.489Z,160153054249000
"""Steven @ GWM99dqAoi"" folds",2020-10-01T05:35:37.849Z,160153053785000
"""AAron @ SgIZePqJyI"" folds",2020-10-01T05:35:36.958Z,160153053695800
"""Ethan @ w1_Hje3yn2"" raises to 150",2020-10-01T05:35:32.688Z,160153053268900
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T05:35:24.830Z,160153052483100
"""Ayush @ _e74w1sbtZ"" raises to 50",2020-10-01T05:35:23.941Z,160153052394200
"""Steven @ GWM99dqAoi"" calls 10",2020-10-01T05:35:13.319Z,160153051331900
"""meesh @ He9325iWeJ"" folds",2020-10-01T05:35:12.427Z,160153051242800
"""AAron @ SgIZePqJyI"" calls 10",2020-10-01T05:35:07.693Z,160153050769400
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T05:35:01.455Z,160153050145600
"""Ethan @ w1_Hje3yn2"" posts a big blind of 10",2020-10-01T05:34:58.690Z,160153049869210
"""Jamz @ Xg6uSZZOvr"" posts a small blind of 5",2020-10-01T05:34:58.690Z,160153049869209
"Your hand is 2♣, A♣",2020-10-01T05:34:58.690Z,160153049869206
"Player stacks: #2 ""Ayush @ _e74w1sbtZ"" (4710) | #3 ""Jamz @ Xg6uSZZOvr"" (3233) | #6 ""Ethan @ w1_Hje3yn2"" (13429) | #7 ""Justin @ _g_OqsZX-M"" (5305) | #8 ""AAron @ SgIZePqJyI"" (1272) | #9 ""meesh @ He9325iWeJ"" (3612) | #10 ""Steven @ GWM99dqAoi"" (3912)",2020-10-01T05:34:58.690Z,160153049869201
"-- starting hand #146  (No Limit Texas Hold'em) (dealer: ""Ayush @ _e74w1sbtZ"") --",2020-10-01T05:34:58.690Z,160153049869200
"-- ending hand #145 --",2020-10-01T05:34:55.783Z,160153049578402
"""Ethan @ w1_Hje3yn2"" collected 150 from pot",2020-10-01T05:34:55.783Z,160153049578401
"Uncalled bet of 150 returned to ""Ethan @ w1_Hje3yn2""",2020-10-01T05:34:55.783Z,160153049578400
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T05:34:54.977Z,160153049497800
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T05:34:52.373Z,160153049237400
"""Steven @ GWM99dqAoi"" folds",2020-10-01T05:34:48.048Z,160153048804800
"""meesh @ He9325iWeJ"" folds",2020-10-01T05:34:47.158Z,160153048715800
"""Ethan @ w1_Hje3yn2"" bets 150",2020-10-01T05:34:45.846Z,160153048584700
"""Jamz @ Xg6uSZZOvr"" checks",2020-10-01T05:34:42.460Z,160153048246100
"""Ayush @ _e74w1sbtZ"" checks",2020-10-01T05:34:33.845Z,160153047384600
"flop:  [Q♦, J♦, 5♦]",2020-10-01T05:34:27.400Z,160153046740100
"""Jamz @ Xg6uSZZOvr"" calls 30",2020-10-01T05:34:26.594Z,160153046659500
"""Ayush @ _e74w1sbtZ"" calls 30",2020-10-01T05:34:23.875Z,160153046387800
"""Steven @ GWM99dqAoi"" calls 30",2020-10-01T05:34:19.778Z,160153045977900
"""meesh @ He9325iWeJ"" calls 30",2020-10-01T05:34:18.385Z,160153045838600
"""AAron @ SgIZePqJyI"" folds",2020-10-01T05:34:15.843Z,160153045584400
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T05:34:13.226Z,160153045322700
"""Ethan @ w1_Hje3yn2"" raises to 30",2020-10-01T05:34:12.339Z,160153045234000
"""Jamz @ Xg6uSZZOvr"" posts a big blind of 10",2020-10-01T05:34:08.388Z,160153044839211
"""Ayush @ _e74w1sbtZ"" posts a small blind of 5",2020-10-01T05:34:08.388Z,160153044839210
"Your hand is 3♦, 6♥",2020-10-01T05:34:08.388Z,160153044839207
"Player stacks: #2 ""Ayush @ _e74w1sbtZ"" (4740) | #3 ""Jamz @ Xg6uSZZOvr"" (3263) | #6 ""Ethan @ w1_Hje3yn2"" (13309) | #7 ""Justin @ _g_OqsZX-M"" (5305) | #8 ""AAron @ SgIZePqJyI"" (1272) | #9 ""meesh @ He9325iWeJ"" (3642) | #10 ""Steven @ GWM99dqAoi"" (3942)",2020-10-01T05:34:08.388Z,160153044839202
"-- starting hand #145  (No Limit Texas Hold'em) (dealer: ""Steven @ GWM99dqAoi"") --",2020-10-01T05:34:08.388Z,160153044839201
"The admin updated the player ""AAron @ SgIZePqJyI"" stack from 272 to 1272.",2020-10-01T05:34:08.388Z,160153044839200
"-- ending hand #144 --",2020-10-01T05:34:05.478Z,160153044547902
"""Steven @ GWM99dqAoi"" collected 280 from pot",2020-10-01T05:34:05.478Z,160153044547901
"Uncalled bet of 210 returned to ""Steven @ GWM99dqAoi""",2020-10-01T05:34:05.478Z,160153044547900
"""AAron @ SgIZePqJyI"" folds",2020-10-01T05:34:04.672Z,160153044467200
"""Ethan @ w1_Hje3yn2"" folds",2020-10-01T05:33:54.271Z,160153043427200
"""Steven @ GWM99dqAoi"" bets 210",2020-10-01T05:33:51.592Z,160153043159300
"flop:  [Q♣, Q♦, 4♣]",2020-10-01T05:33:47.763Z,160153042776400
"""AAron @ SgIZePqJyI"" calls 90",2020-10-01T05:33:46.957Z,160153042695800
"""Ethan @ w1_Hje3yn2"" calls 90",2020-10-01T05:33:38.114Z,160153041811500
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T05:33:33.383Z,160153041338400
"""Steven @ GWM99dqAoi"" raises to 90",2020-10-01T05:33:29.311Z,160153040931200
"""meesh @ He9325iWeJ"" folds",2020-10-01T05:33:27.719Z,160153040771900
"""AAron @ SgIZePqJyI"" calls 30",2020-10-01T05:33:26.808Z,160153040680900
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T05:33:21.992Z,160153040199200
"""Ethan @ w1_Hje3yn2"" raises to 30",2020-10-01T05:33:19.047Z,160153039904900
"WARNING: the admin queued the stack change for the player ""AAron @ SgIZePqJyI"" adding 1000 chips in the next hand.",2020-10-01T05:33:15.573Z,160153039557400
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T05:33:07.827Z,160153038782800
"""Ayush @ _e74w1sbtZ"" posts a big blind of 10",2020-10-01T05:33:05.944Z,160153038594510
"""Steven @ GWM99dqAoi"" posts a small blind of 5",2020-10-01T05:33:05.944Z,160153038594509
"Your hand is 10♠, K♦",2020-10-01T05:33:05.944Z,160153038594506
"Player stacks: #2 ""Ayush @ _e74w1sbtZ"" (4750) | #3 ""Jamz @ Xg6uSZZOvr"" (3263) | #6 ""Ethan @ w1_Hje3yn2"" (13399) | #7 ""Justin @ _g_OqsZX-M"" (5305) | #8 ""AAron @ SgIZePqJyI"" (362) | #9 ""meesh @ He9325iWeJ"" (3642) | #10 ""Steven @ GWM99dqAoi"" (3752)",2020-10-01T05:33:05.944Z,160153038594501
"-- starting hand #144  (No Limit Texas Hold'em) (dealer: ""meesh @ He9325iWeJ"") --",2020-10-01T05:33:05.944Z,160153038594500
"-- ending hand #143 --",2020-10-01T05:33:03.029Z,160153038303002
"""Steven @ GWM99dqAoi"" collected 125 from pot",2020-10-01T05:33:03.029Z,160153038303001
"Uncalled bet of 93 returned to ""Steven @ GWM99dqAoi""",2020-10-01T05:33:03.029Z,160153038303000
"""AAron @ SgIZePqJyI"" folds",2020-10-01T05:33:02.215Z,160153038221600
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T05:32:59.404Z,160153037940500
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T05:32:58.512Z,160153037851300
"""Steven @ GWM99dqAoi"" bets 93",2020-10-01T05:32:54.671Z,160153037467200
"turn: A♣, Q♠, Q♣ [6♣]",2020-10-01T05:32:47.187Z,160153036719100
"""AAron @ SgIZePqJyI"" checks",2020-10-01T05:32:46.382Z,160153036638300
"""Jamz @ Xg6uSZZOvr"" checks",2020-10-01T05:32:42.368Z,160153036236900
"""Ayush @ _e74w1sbtZ"" checks",2020-10-01T05:32:41.475Z,160153036147600
"""Steven @ GWM99dqAoi"" checks",2020-10-01T05:32:39.016Z,160153035901700
"flop:  [A♣, Q♠, Q♣]",2020-10-01T05:32:37.206Z,160153035720800
"""Steven @ GWM99dqAoi"" calls 30",2020-10-01T05:32:36.389Z,160153035639000
"""meesh @ He9325iWeJ"" folds",2020-10-01T05:32:34.058Z,160153035405900
"""AAron @ SgIZePqJyI"" calls 30",2020-10-01T05:32:33.156Z,160153035315700
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T05:32:28.230Z,160153034823100
"""Ethan @ w1_Hje3yn2"" folds",2020-10-01T05:32:25.938Z,160153034593900
"""Jamz @ Xg6uSZZOvr"" calls 30",2020-10-01T05:32:21.965Z,160153034196600
"""Ayush @ _e74w1sbtZ"" raises to 30",2020-10-01T05:32:20.080Z,160153034008100
"""Steven @ GWM99dqAoi"" posts a big blind of 10",2020-10-01T05:32:14.535Z,160153033453710
"""meesh @ He9325iWeJ"" posts a small blind of 5",2020-10-01T05:32:14.535Z,160153033453709
"Your hand is K♠, 5♥",2020-10-01T05:32:14.535Z,160153033453706
"Player stacks: #2 ""Ayush @ _e74w1sbtZ"" (4780) | #3 ""Jamz @ Xg6uSZZOvr"" (3293) | #6 ""Ethan @ w1_Hje3yn2"" (13399) | #7 ""Justin @ _g_OqsZX-M"" (5305) | #8 ""AAron @ SgIZePqJyI"" (392) | #9 ""meesh @ He9325iWeJ"" (3647) | #10 ""Steven @ GWM99dqAoi"" (3657)",2020-10-01T05:32:14.535Z,160153033453701
"-- starting hand #143  (No Limit Texas Hold'em) (dealer: ""AAron @ SgIZePqJyI"") --",2020-10-01T05:32:14.535Z,160153033453700
"-- ending hand #142 --",2020-10-01T05:32:08.025Z,160153032802602
"""Justin @ _g_OqsZX-M"" collected 2930 from pot with Two Pair, A's & 10's (combination: A♣, A♥, 10♥, 10♦, K♦)",2020-10-01T05:32:08.025Z,160153032802601
"""Justin @ _g_OqsZX-M"" shows a 10♥, A♣.",2020-10-01T05:32:08.025Z,160153032802600
"""AAron @ SgIZePqJyI"" calls 1000",2020-10-01T05:32:07.217Z,160153032721800
"""Justin @ _g_OqsZX-M"" raises to 1000",2020-10-01T05:31:52.319Z,160153031232000
"""AAron @ SgIZePqJyI"" bets 300",2020-10-01T05:31:39.850Z,160153029985100
"river: K♦, 10♦, A♥, 7♦ [7♣]",2020-10-01T05:31:31.378Z,160153029138300
"""Justin @ _g_OqsZX-M"" checks",2020-10-01T05:31:30.570Z,160153029057100
"""AAron @ SgIZePqJyI"" checks",2020-10-01T05:31:18.172Z,160153027817500
"turn: K♦, 10♦, A♥ [7♦]",2020-10-01T05:31:10.300Z,160153027030300
"""Justin @ _g_OqsZX-M"" calls 310",2020-10-01T05:31:09.493Z,160153026949400
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T05:31:04.379Z,160153026438000
"""AAron @ SgIZePqJyI"" raises to 310",2020-10-01T05:30:49.088Z,160153024909000
"""Justin @ _g_OqsZX-M"" bets 155",2020-10-01T05:30:44.655Z,160153024465600
"""Jamz @ Xg6uSZZOvr"" checks",2020-10-01T05:30:39.082Z,160153023908200
"""AAron @ SgIZePqJyI"" checks",2020-10-01T05:30:31.433Z,160153023143300
"flop:  [K♦, 10♦, A♥]",2020-10-01T05:30:16.892Z,160153021689400
"""Jamz @ Xg6uSZZOvr"" calls 90",2020-10-01T05:30:16.086Z,160153021608700
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T05:30:14.671Z,160153021467200
"""meesh @ He9325iWeJ"" folds",2020-10-01T05:30:11.530Z,160153021153100
"""AAron @ SgIZePqJyI"" calls 90",2020-10-01T05:30:10.624Z,160153021062500
"""Justin @ _g_OqsZX-M"" raises to 90",2020-10-01T05:30:07.450Z,160153020745100
"""Ethan @ w1_Hje3yn2"" folds",2020-10-01T05:30:02.127Z,160153020212800
"""Jamz @ Xg6uSZZOvr"" calls 30",2020-10-01T05:29:56.169Z,160153019617000
"""Ayush @ _e74w1sbtZ"" raises to 30",2020-10-01T05:29:52.563Z,160153019256400
"""Steven @ GWM99dqAoi"" folds",2020-10-01T05:29:45.127Z,160153018512800
"""meesh @ He9325iWeJ"" posts a big blind of 10",2020-10-01T05:29:34.738Z,160153017473910
"""AAron @ SgIZePqJyI"" posts a small blind of 5",2020-10-01T05:29:34.738Z,160153017473909
"Your hand is 8♣, A♠",2020-10-01T05:29:34.738Z,160153017473906
"Player stacks: #2 ""Ayush @ _e74w1sbtZ"" (4810) | #3 ""Jamz @ Xg6uSZZOvr"" (3383) | #6 ""Ethan @ w1_Hje3yn2"" (13399) | #7 ""Justin @ _g_OqsZX-M"" (3775) | #8 ""AAron @ SgIZePqJyI"" (1792) | #9 ""meesh @ He9325iWeJ"" (3657) | #10 ""Steven @ GWM99dqAoi"" (3657)",2020-10-01T05:29:34.738Z,160153017473901
"-- starting hand #142  (No Limit Texas Hold'em) (dealer: ""Justin @ _g_OqsZX-M"") --",2020-10-01T05:29:34.738Z,160153017473900
"""meesh @ He9325iWeJ"" shows a Q♠, 10♦.",2020-10-01T05:29:32.629Z,160153017263000
"""Steven @ GWM99dqAoi"" shows a 4♣, 4♦.",2020-10-01T05:29:28.912Z,160153016891300
"-- ending hand #141 --",2020-10-01T05:29:27.187Z,160153016718902
"""Ethan @ w1_Hje3yn2"" collected 1875 from pot with Two Pair, J's & 9's (combination: J♥, J♣, 9♣, 9♥, 8♦)",2020-10-01T05:29:27.187Z,160153016718901
"""Ethan @ w1_Hje3yn2"" shows a J♥, 9♣.",2020-10-01T05:29:27.187Z,160153016718900
"""Steven @ GWM99dqAoi"" calls 300",2020-10-01T05:29:26.382Z,160153016638300
"""Ethan @ w1_Hje3yn2"" bets 300",2020-10-01T05:28:49.035Z,160153012903600
"""Steven @ GWM99dqAoi"" checks",2020-10-01T05:28:37.894Z,160153011789500
"river: 9♥, 8♦, 3♣, 6♣ [J♣]",2020-10-01T05:28:28.848Z,160153010885200
"""Ethan @ w1_Hje3yn2"" calls 425",2020-10-01T05:28:28.040Z,160153010804100
"""Ayush @ _e74w1sbtZ"" folds",2020-10-01T05:28:24.795Z,160153010479600
"""Steven @ GWM99dqAoi"" bets 425",2020-10-01T05:28:22.934Z,160153010293500
"turn: 9♥, 8♦, 3♣ [6♣]",2020-10-01T05:28:19.827Z,160153009983000
"""meesh @ He9325iWeJ"" folds",2020-10-01T05:28:19.023Z,160153009902400
"""AAron @ SgIZePqJyI"" folds",2020-10-01T05:28:18.116Z,160153009811700
"""Ethan @ w1_Hje3yn2"" calls 90",2020-10-01T05:28:10.205Z,160153009020600
"""Ayush @ _e74w1sbtZ"" calls 90",2020-10-01T05:28:00.485Z,160153008048600
"""Steven @ GWM99dqAoi"" bets 90",2020-10-01T05:27:55.177Z,160153007517800
"""meesh @ He9325iWeJ"" checks",2020-10-01T05:27:49.358Z,160153006935900
"""AAron @ SgIZePqJyI"" checks",2020-10-01T05:27:47.956Z,160153006795700
"flop:  [9♥, 8♦, 3♣]",2020-10-01T05:27:44.373Z,160153006437400
"""meesh @ He9325iWeJ"" calls 30",2020-10-01T05:27:43.569Z,160153006357000
"""AAron @ SgIZePqJyI"" calls 30",2020-10-01T05:27:41.987Z,160153006198800
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T05:27:38.809Z,160153005881000
"""Ethan @ w1_Hje3yn2"" calls 30",2020-10-01T05:27:36.496Z,160153005649700
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T05:27:32.860Z,160153005286000
"""Ayush @ _e74w1sbtZ"" calls 30",2020-10-01T05:27:31.965Z,160153005196600
"""Steven @ GWM99dqAoi"" raises to 30",2020-10-01T05:27:28.263Z,160153004826400
"""meesh @ He9325iWeJ"" calls 10",2020-10-01T05:27:26.092Z,160153004609200
"""AAron @ SgIZePqJyI"" posts a big blind of 10",2020-10-01T05:27:20.779Z,160153004078110
"""Justin @ _g_OqsZX-M"" posts a small blind of 5",2020-10-01T05:27:20.779Z,160153004078009
"Your hand is 7♥, A♥",2020-10-01T05:27:20.779Z,160153004078006
"Player stacks: #2 ""Ayush @ _e74w1sbtZ"" (4930) | #3 ""Jamz @ Xg6uSZZOvr"" (3383) | #6 ""Ethan @ w1_Hje3yn2"" (12369) | #7 ""Justin @ _g_OqsZX-M"" (3780) | #8 ""AAron @ SgIZePqJyI"" (1822) | #9 ""meesh @ He9325iWeJ"" (3687) | #10 ""Steven @ GWM99dqAoi"" (4502)",2020-10-01T05:27:20.779Z,160153004078001
"-- starting hand #141  (No Limit Texas Hold'em) (dealer: ""Ethan @ w1_Hje3yn2"") --",2020-10-01T05:27:20.779Z,160153004078000
"-- ending hand #140 --",2020-10-01T05:27:17.873Z,160153003787402
"""Ayush @ _e74w1sbtZ"" collected 345 from pot",2020-10-01T05:27:17.873Z,160153003787401
"Uncalled bet of 345 returned to ""Ayush @ _e74w1sbtZ""",2020-10-01T05:27:17.873Z,160153003787400
"""Jamz @ Xg6uSZZOvr"" folds",2020-10-01T05:27:17.066Z,160153003706700
"""Ayush @ _e74w1sbtZ"" bets 345",2020-10-01T05:26:58.591Z,160153001859200
"turn: 10♥, A♦, 6♠ [3♥]",2020-10-01T05:26:51.762Z,160153001176500
"""Ayush @ _e74w1sbtZ"" calls 90",2020-10-01T05:26:50.957Z,160153001095800
"""AAron @ SgIZePqJyI"" folds",2020-10-01T05:26:41.249Z,160153000124900
"""Jamz @ Xg6uSZZOvr"" bets 90",2020-10-01T05:26:36.512Z,160152999651300
"""Ayush @ _e74w1sbtZ"" checks",2020-10-01T05:26:30.581Z,160152999058200
"""AAron @ SgIZePqJyI"" checks",2020-10-01T05:26:28.281Z,160152998828200
"flop:  [10♥, A♦, 6♠]",2020-10-01T05:26:22.597Z,160152998259900
"""AAron @ SgIZePqJyI"" calls 50",2020-10-01T05:26:21.791Z,160152998179200
"""Justin @ _g_OqsZX-M"" folds",2020-10-01T05:26:18.673Z,160152997867400
"""Ethan @ w1_Hje3yn2"" folds",2020-10-01T05:26:15.639Z,160152997563900
"""Jamz @ Xg6uSZZOvr"" calls 50",2020-10-01T05:26:10.919Z,160152997092000
"""Ayush @ _e74w1sbtZ"" raises to 50",2020-10-01T05:26:07.436Z,160152996743600
"""Steven @ GWM99dqAoi"" folds",2020-10-01T05:25:59.189Z,160152995919000
"""meesh @ He9325iWeJ"" folds",2020-10-01T05:25:58.293Z,160152995829400
"""AAron @ SgIZePqJyI"" raises to 30",2020-10-01T05:25:57.388Z,160152995738900
"""Justin @ _g_OqsZX-M"" posts a big blind of 10",2020-10-01T05:25:52.063Z,160152995206410
